Date : 2026-08-14 10:46:52
Directory : /Users/philliphanson/Documents/Design/web/hson/hson-live
Total : 132 files,  11983 codes, 229 comments, 1801 blanks, all 14013 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/_tests/test-launchers.ts                                   | TypeScript |        210 |          0 |          0 |        210 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/index.ts                                      | TypeScript |          8 |          0 |          0 |          8 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.authority.ts                         | TypeScript |          6 |          0 |          0 |          6 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.client.ts                            | TypeScript |          8 |          0 |          0 |          8 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.core.ts                              | TypeScript |       -109 |          0 |         -3 |       -112 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.facade.ts                            | TypeScript |         -2 |          0 |          0 |         -2 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.persistence.ts                       | TypeScript |          8 |          1 |          1 |         10 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.protocol.ts                          | TypeScript |         -2 |          0 |         -1 |         -3 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.resume.ts                            | TypeScript |        -90 |         -1 |        -18 |       -109 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/liveinspect/liveinspect.ts                             | TypeScript |          1 |          0 |          0 |          1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/index.ts                                       | TypeScript |          0 |          0 |         -1 |         -1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.bridge-bindings.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.core.ts                                | TypeScript |        420 |          0 |          4 |        424 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.attrs.ts                      | TypeScript |         24 |          1 |          1 |         26 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.id-discovery.ts               | TypeScript |         39 |          6 |          4 |         49 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.identity.ts                   | TypeScript |          0 |          7 |          0 |          7 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.location.ts                   | TypeScript |        378 |          2 |         27 |        407 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.logical.ts                    | TypeScript |        566 |         20 |         43 |        629 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.mutation.ts                   | TypeScript |        102 |          1 |          5 |        108 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.schema.ts                     | TypeScript |        729 |          0 |         63 |        792 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.ts                            | TypeScript |         59 |          4 |          0 |         63 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.facade.ts                              | TypeScript |        -10 |          0 |          0 |        -10 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.handle.ts                              | TypeScript |         12 |          1 |          1 |         14 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.index.ts                               | TypeScript |         -3 |          0 |          0 |         -3 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.internal.ts                            | TypeScript |         18 |          3 |          6 |         27 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.node.ts                                | TypeScript |       -223 |        -31 |        -41 |       -295 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.proxy.ts                               | TypeScript |         35 |          2 |          5 |         42 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.schema.ts                              | TypeScript |        703 |         -1 |         53 |        755 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.watch.ts                               | TypeScript |        119 |          5 |         16 |        140 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livetree/index.ts                                      | TypeScript |         35 |          0 |          0 |         35 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livetree/livetree.ts                                   | TypeScript |          0 |          5 |          0 |          5 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livetree/managers/attr-handle.ts                       | TypeScript |         11 |          0 |         -2 |          9 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livetree/methods/livetree.bind.ts                      | TypeScript |          1 |          0 |          1 |          2 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livetree/quid/data-quid.ts                             | TypeScript |          0 |         -8 |          0 |         -8 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/index.ts                                     | TypeScript |         12 |          0 |          0 |         12 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/core/hson-node-quid.ts                                     | TypeScript |          3 |          0 |          1 |          4 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/core/ordered-projected-value.ts                            | TypeScript |          4 |          0 |          0 |          4 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/core/public-attr-transitions.ts                            | TypeScript |         75 |          9 |         11 |         95 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/hson.ts                                                    | TypeScript |         10 |          0 |          0 |         10 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/index.ts                                                   | TypeScript |         28 |          0 |          0 |         28 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/index.ts                                             | TypeScript |          5 |          0 |          0 |          5 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/livehost.types.ts                                    | TypeScript |         -9 |         -1 |         -1 |        -11 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/liveinspect.types.ts                                 | TypeScript |         -1 |          0 |          0 |         -1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/livemap.types.ts                                     | TypeScript |        693 |        -13 |         74 |        754 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/livetree-internals.types.ts                          | TypeScript |          0 |          5 |          0 |          5 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/document-same-quid-replacement-continuity.acceptance.mts | TypeScript |        433 |          1 |         32 |        466 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/livemap-worker.ts                            | TypeScript |         45 |         12 |          2 |         59 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/public-entrypoints.ts                        | TypeScript |        566 |         62 |         18 |        646 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/root-compatibility.ts                        | TypeScript |         13 |          0 |          0 |         13 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/tsconfig.public.json                         | JSON       |          1 |          0 |          0 |          1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-node-quid-egress.acceptance.mts                     | TypeScript |          3 |          0 |          0 |          3 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-node-quid-ingress.acceptance.mts                    | TypeScript |          9 |          0 |          0 |          9 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-node-quid.acceptance.mts                            | TypeScript |          6 |          0 |          0 |          6 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-authority-lifecycle.acceptance.mts              | TypeScript |         -1 |          0 |          0 |         -1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-bootstrap.acceptance.mts                        | TypeScript |         -8 |          0 |          0 |         -8 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-document-request-compatibility.acceptance.mts   | TypeScript |          9 |          0 |          0 |          9 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-document.types.ts                               | TypeScript |          7 |          1 |          0 |          8 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-graph-content-codec.acceptance.mts              | TypeScript |          4 |          0 |          0 |          4 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-canonical-ownership.acceptance.mts               | TypeScript |        120 |          1 |         18 |        139 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-attrs-read.acceptance.mts               | TypeScript |          1 |          0 |          0 |          1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-attrs-schema.acceptance.mts             | TypeScript |        220 |          1 |         23 |        244 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-attrs-schema.types.ts                   | TypeScript |        115 |         22 |         13 |        150 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-flags.acceptance.mts                    | TypeScript |        151 |          1 |         16 |        168 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-id-discovery.acceptance.mts             | TypeScript |        165 |          1 |         31 |        197 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-id-public.acceptance.mts                | TypeScript |        168 |          1 |         31 |        200 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-identity-compatibility.acceptance.mts   | TypeScript |          1 |          0 |          0 |          1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-install.acceptance.mts                  | TypeScript |          2 |          0 |          0 |          2 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-location-attrs.acceptance.mts           | TypeScript |         53 |          1 |          4 |         58 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-location-content.acceptance.mts         | TypeScript |         41 |          1 |          4 |         46 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-location-mutation.acceptance.mts        | TypeScript |        200 |          1 |         32 |        233 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-location.acceptance.mts                 | TypeScript |        281 |          1 |         49 |        331 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-logical-traversal.acceptance.mts        | TypeScript |        527 |          3 |         69 |        599 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-mutation-inputs.types.ts                | TypeScript |         89 |         14 |         20 |        123 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-proxy-typing.types.ts                   | TypeScript |        103 |         10 |         18 |        131 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-proxy.acceptance.mts                    | TypeScript |        169 |          1 |         32 |        202 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-relative-paths.types.ts                 | TypeScript |        102 |         12 |         19 |        133 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-schema-construction.acceptance.mts      | TypeScript |        233 |          1 |         41 |        275 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-schema-enforcement.acceptance.mts       | TypeScript |        172 |          1 |          6 |        179 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-schema.types.ts                         | TypeScript |        184 |         12 |         23 |        219 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-typed-paths.types.ts                    | TypeScript |        112 |         11 |         23 |        146 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document.acceptance.mts                          | TypeScript |          6 |          0 |          0 |          6 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-exact-propagation.acceptance.mts                 | TypeScript |        -22 |          0 |         -1 |        -23 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-exact-route-closure.acceptance.mts               | TypeScript |        -13 |          0 |         -1 |        -14 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-linked-identity-closure.acceptance.mts           | TypeScript |          4 |          0 |          0 |          4 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-path-handle.acceptance.mts                       | TypeScript |        458 |          0 |         65 |        523 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-projected-intent-propagation.acceptance.mts      | TypeScript |          7 |          0 |          1 |          8 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-reflection-publication-order.acceptance.mts      | TypeScript |        406 |          1 |         29 |        436 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-rejection-closure.acceptance.mts                 | TypeScript |         -1 |          0 |          0 |         -1 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-schema-composition.acceptance.mts                | TypeScript |        210 |          1 |          5 |        216 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-schema-composition.types.ts                      | TypeScript |        165 |         30 |         17 |        212 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-schema-counted-repeat.acceptance.mts             | TypeScript |         53 |          1 |          5 |         59 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-schema-empty.acceptance.mts                      | TypeScript |         68 |          1 |          5 |         74 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-schema-owner-contract.acceptance.mts             | TypeScript |        186 |          1 |         27 |        214 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-schema-value-boundary.acceptance.mts             | TypeScript |         -4 |          0 |          0 |         -4 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-schema-vocabulary.acceptance.mts                 | TypeScript |         47 |          1 |          6 |         54 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-staged-authority.acceptance.mts                  | TypeScript |          2 |          0 |          0 |          2 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livetree-attrs.acceptance.mts                            | TypeScript |         13 |          0 |          0 |         13 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livetree-livemap-attrs-convergence.acceptance.mts        | TypeScript |         85 |          1 |         14 |        100 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livetree-quid-runtime-closure.acceptance.mts             | TypeScript |          7 |          0 |          1 |          8 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livetree-terminal-reuse-boundaries.acceptance.mts        | TypeScript |         82 |          0 |          7 |         89 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/public-boundaries.acceptance.mts                         | TypeScript |         -8 |          0 |         -1 |         -9 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/reflect-document-delegation.acceptance.mts               | TypeScript |         30 |          0 |          4 |         34 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/reflect-document-snapshot.acceptance.mts                 | TypeScript |          2 |          0 |          0 |          2 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/root-compatibility.acceptance.mts                        | TypeScript |         47 |          0 |          1 |         48 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/runtime-probes/livehost-authority.acceptance.mjs         | JavaScript |         73 |          0 |          6 |         79 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/runtime-probes/livehost-client-recovery.acceptance.mjs   | JavaScript |        146 |          0 |          5 |        151 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/runtime-probes/livehost-document-recovery.acceptance.mjs | JavaScript |        -28 |          0 |         -2 |        -30 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/runtime-probes/livehost-persistence.acceptance.mjs       | JavaScript |         34 |          0 |          2 |         36 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/runtime-probes/livehost-recovery.acceptance.mjs          | JavaScript |         10 |          0 |          1 |         11 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/runtime-probes/livehost-session.acceptance.mjs           | JavaScript |         12 |          0 |          1 |         13 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/view-state-snapshot-codec.acceptance.mts                 | TypeScript |         16 |          0 |          1 |         17 |
| Total                                                                                                                   |            |     11,983 |        229 |      1,801 |     14,013 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
