"filename", "language", "TypeScript", "JSON", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.handle.ts", "TypeScript", 12, 0, 0, 0, 1, 1, 14
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.index.ts", "TypeScript", -3, 0, 0, 0, 0, 0, -3
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.internal.ts", "TypeScript", 18, 0, 0, 0, 3, 6, 27
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.node.ts", "TypeScript", -223, 0, 0, 0, -31, -41, -295
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.proxy.ts", "TypeScript", 35, 0, 0, 0, 2, 5, 42
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.schema.ts", "TypeScript", 703, 0, 0, 0, -1, 53, 755
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.watch.ts", "TypeScript", 119, 0, 0, 0, 5, 16, 140
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livetree/index.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 35
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livetree/livetree.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 5
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livetree/managers/attr-handle.ts", "TypeScript", 11, 0, 0, 0, 0, -2, 9
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livetree/methods/livetree.bind.ts", "TypeScript", 1, 0, 0, 0, 0, 1, 2
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livetree/quid/data-quid.ts", "TypeScript", 0, 0, 0, 0, -8, 0, -8
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/index.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 12
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/core/hson-node-quid.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/core/ordered-projected-value.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 4
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/core/public-attr-transitions.ts", "TypeScript", 75, 0, 0, 0, 9, 11, 95
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/hson.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 10
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/index.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 28
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 5
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/livehost.types.ts", "TypeScript", -9, 0, 0, 0, -1, -1, -11
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/liveinspect.types.ts", "TypeScript", -1, 0, 0, 0, 0, 0, -1
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/livemap.types.ts", "TypeScript", 693, 0, 0, 0, -13, 74, 754
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/livetree-internals.types.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 5
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/document-same-quid-replacement-continuity.acceptance.mts", "TypeScript", 433, 0, 0, 0, 1, 32, 466
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/livemap-worker.ts", "TypeScript", 45, 0, 0, 0, 12, 2, 59
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/public-entrypoints.ts", "TypeScript", 566, 0, 0, 0, 62, 18, 646
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/root-compatibility.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 13
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/tsconfig.public.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-node-quid-egress.acceptance.mts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-node-quid-ingress.acceptance.mts", "TypeScript", 9, 0, 0, 0, 0, 0, 9
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-node-quid.acceptance.mts", "TypeScript", 6, 0, 0, 0, 0, 0, 6
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-authority-lifecycle.acceptance.mts", "TypeScript", -1, 0, 0, 0, 0, 0, -1
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-bootstrap.acceptance.mts", "TypeScript", -8, 0, 0, 0, 0, 0, -8
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-document-request-compatibility.acceptance.mts", "TypeScript", 9, 0, 0, 0, 0, 0, 9
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-document.types.ts", "TypeScript", 7, 0, 0, 0, 1, 0, 8
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-graph-content-codec.acceptance.mts", "TypeScript", 4, 0, 0, 0, 0, 0, 4
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-canonical-ownership.acceptance.mts", "TypeScript", 120, 0, 0, 0, 1, 18, 139
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-attrs-read.acceptance.mts", "TypeScript", 1, 0, 0, 0, 0, 0, 1
"/Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-attrs-schema.acceptance.mts", "TypeScript", 220, 0, 0, 0, 1, 23, 244
