"filename", "language", "TypeScript", "Markdown", "JSON", "JSON with Comments", "JavaScript", "comment", "blank", "total"
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/reflect/reflect.facade.ts", "TypeScript", 25, 0, 0, 0, 0, 1, 4, 30
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/constructors/construct-options-3.ts", "TypeScript", 81, 0, 0, 0, 0, 3, 18, 102
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/constructors/construct-output-2.ts", "TypeScript", 71, 0, 0, 0, 0, 24, 19, 114
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/constructors/construct-render-4.ts", "TypeScript", 65, 0, 0, 0, 0, 26, 7, 98
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/constructors/construct-source-1.ts", "TypeScript", 161, 0, 0, 0, 0, 114, 27, 302
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/hson-calc.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 1, 6
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/hson-number.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 1, 7
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/hson-string.ts", "TypeScript", 38, 0, 0, 0, 0, 4, 6, 48
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/index.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 1, 37
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/parsers/parse-external-html.transform.ts", "TypeScript", 31, 0, 0, 0, 0, 21, 6, 58
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/parsers/parse-hson.ts", "TypeScript", 26, 0, 0, 0, 0, 19, 5, 50
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/parsers/parse-html-string.ts", "TypeScript", 484, 0, 0, 0, 0, 4, 43, 531
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/parsers/parse-html.ts", "TypeScript", 427, 0, 0, 0, 0, 182, 65, 674
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/parsers/parse-json.ts", "TypeScript", 318, 0, 0, 0, 0, 194, 47, 559
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/parsers/parse-tokens.ts", "TypeScript", 368, 0, 0, 0, 0, 96, 58, 522
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/parsers/tokenize-hson.ts", "TypeScript", 1177, 0, 0, 0, 0, 23, 133, 1333
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/serializers/serialize-hson.ts", "TypeScript", 508, 0, 0, 0, 0, 11, 47, 566
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/serializers/serialize-html.ts", "TypeScript", 189, 0, 0, 0, 0, 156, 33, 378
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/serializers/serialize-json.ts", "TypeScript", 270, 0, 0, 0, 0, 147, 31, 448
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/token-factories.ts", "TypeScript", 20, 0, 0, 0, 0, 1, 8, 29
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/token.types.ts", "TypeScript", 75, 0, 0, 0, 0, 122, 17, 214
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/transform.browser.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 5, 22
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/transform.facade.ts", "TypeScript", 37, 0, 0, 0, 0, 6, 3, 46
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/transform.types.ts", "TypeScript", 57, 0, 0, 0, 0, 15, 16, 88
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/transform.universal.ts", "TypeScript", 100, 0, 0, 0, 0, 0, 9, 109
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/attrs-utils/camel_to_kebab.ts", "TypeScript", 7, 0, 0, 0, 0, 22, 2, 31
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/attrs-utils/normalize-css.ts", "TypeScript", 54, 0, 0, 0, 0, 53, 15, 122
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/attrs-utils/normalize_attrs_ws.ts", "TypeScript", 6, 0, 0, 0, 0, 21, 2, 29
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/attrs-utils/parse-style.ts", "TypeScript", 50, 0, 0, 0, 0, 33, 11, 94
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/attrs-utils/serialize-style.ts", "TypeScript", 29, 0, 0, 0, 0, 32, 11, 72
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/hson-utils/assert-attrs.ts", "TypeScript", 0, 0, 0, 0, 0, 41, 13, 54
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/hson-utils/hson-source-name.ts", "TypeScript", 20, 0, 0, 0, 0, 7, 3, 30
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/hson-utils/hson-tag-helpers.ts", "TypeScript", 47, 0, 0, 0, 0, 1, 15, 63
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/hson-utils/lex-text-piece.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 3, 18
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/hson-utils/quid-ingress.ts", "TypeScript", 51, 0, 0, 0, 0, 7, 4, 62
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/hson-utils/scan-quoted-block.ts", "TypeScript", 203, 0, 0, 0, 0, 22, 46, 271
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/hson-utils/slice-balance.ts", "TypeScript", 56, 0, 0, 0, 0, 52, 8, 116
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/hson-utils/split-array-string.ts", "TypeScript", 41, 0, 0, 0, 0, 40, 13, 94
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/hson-utils/split-attrs-meta.ts", "TypeScript", 35, 0, 0, 0, 0, 62, 11, 108
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/hson-utils/unescape-hson.ts", "TypeScript", 8, 0, 0, 0, 0, 10, 2, 20
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-preflights/escape-text.ts", "TypeScript", 37, 0, 0, 0, 0, 37, 6, 80
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-preflights/expand-entities.ts", "TypeScript", 16, 0, 0, 0, 0, 31, 3, 50
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-preflights/expand-flags.ts", "TypeScript", 22, 0, 0, 0, 0, 31, 10, 63
